sexo,empleo,nivel_sueldo,rango_edad,valor
0,0,0,15-19 | 15-19,3645576
0,0,0,15-19 | 20-29,5629976
0,0,0,15-19 | 30-39,5994559
0,0,0,15-19 | 40-49,6229374
0,0,0,15-19 | 50-59,6477997
0,0,0,15-19 | >60,7692365
0,0,0,20-29 | 20-29,1984400
0,0,0,20-29 | 30-39,2348983
0,0,0,20-29 | 40-49,2583798
0,0,0,20-29 | 50-59,2832421
0,0,0,20-29 | >60,4046789
0,0,0,30-39 | 30-39,364583
0,0,0,30-39 | 40-49,599398
0,0,0,30-39 | 50-59,848021
0,0,0,30-39 | >60,2062389
0,0,0,40-49 | 40-49,234815
0,0,0,40-49 | 50-59,483438
0,0,0,40-49 | >60,1697806
0,0,0,50-59 | 50-59,248623
0,0,0,50-59 | >60,1462991
0,0,0,>60 | >60,1214368
,,,,.
0,1,0,15-19 | 15-19,343959
0,1,0,15-19 | 20-29,651000
0,1,0,15-19 | 30-39,722411
0,1,0,15-19 | 40-49,772531
0,1,0,15-19 | 50-59,799060
0,1,0,15-19 | >60,844581
0,1,0,20-29 | 20-29,307041
0,1,0,20-29 | 30-39,378452
0,1,0,20-29 | 40-49,428572
0,1,0,20-29 | 50-59,455101
0,1,0,20-29 | >60,500622
0,1,0,30-39 | 30-39,71411
0,1,0,30-39 | 40-49,121531
0,1,0,30-39 | 50-59,148060
0,1,0,30-39 | >60,193581
0,1,0,40-49 | 40-49,50120
0,1,0,40-49 | 50-59,76649
0,1,0,40-49 | >60,122170
0,1,0,50-59 | 50-59,26529
0,1,0,50-59 | >60,72050
0,1,0,>60 | >60,45521
,,,,.
0,1,1,15-19 | 15-19,1041079
0,1,1,15-19 | 20-29,2710420
0,1,1,15-19 | 30-39,3378027
0,1,1,15-19 | 40-49,3883553
0,1,1,15-19 | 50-59,4291539
0,1,1,15-19 | >60,4759364
0,1,1,20-29 | 20-29,1669341
0,1,1,20-29 | 30-39,2336948
0,1,1,20-29 | 40-49,2842474
0,1,1,20-29 | 50-59,3250460
0,1,1,20-29 | >60,3718285
0,1,1,30-39 | 30-39,667607
0,1,1,30-39 | 40-49,1173133
0,1,1,30-39 | 50-59,1581119
0,1,1,30-39 | >60,2048944
0,1,1,40-49 | 40-49,505526
0,1,1,40-49 | 50-59,913512
0,1,1,40-49 | >60,1381337
0,1,1,50-59 | 50-59,407986
0,1,1,50-59 | >60,875811
0,1,1,>60 | >60,467825
,,,,.
0,1,2,15-19 | 15-19,498557
0,1,2,15-19 | 20-29,2350317
0,1,2,15-19 | 30-39,3272457
0,1,2,15-19 | 40-49,3820464
0,1,2,15-19 | 50-59,4226099
0,1,2,15-19 | >60,4482844
0,1,2,20-29 | 20-29,1851760
0,1,2,20-29 | 30-39,2773900
0,1,2,20-29 | 40-49,3321907
0,1,2,20-29 | 50-59,3727542
0,1,2,20-29 | >60,3984287
0,1,2,30-39 | 30-39,922140
0,1,2,30-39 | 40-49,1470147
0,1,2,30-39 | 50-59,1875782
0,1,2,30-39 | >60,2132527
0,1,2,40-49 | 40-49,548007
0,1,2,40-49 | 50-59,953642
0,1,2,40-49 | >60,1210387
0,1,2,50-59 | 50-59,405635
0,1,2,50-59 | >60,662380
0,1,2,>60 | >60,256745
,,,,.
0,1,3,15-19 | 15-19,26633
0,1,3,15-19 | 20-29,370553
0,1,3,15-19 | 30-39,636810
0,1,3,15-19 | 40-49,805780
0,1,3,15-19 | 50-59,931067
0,1,3,15-19 | >60,988302
0,1,3,20-29 | 20-29,343920
0,1,3,20-29 | 30-39,610177
0,1,3,20-29 | 40-49,779147
0,1,3,20-29 | 50-59,904434
0,1,3,20-29 | >60,961669
0,1,3,30-39 | 30-39,266257
0,1,3,30-39 | 40-49,435227
0,1,3,30-39 | 50-59,560514
0,1,3,30-39 | >60,617749
0,1,3,40-49 | 40-49,168970
0,1,3,40-49 | 50-59,294257
0,1,3,40-49 | >60,351492
0,1,3,50-59 | 50-59,125287
0,1,3,50-59 | >60,182522
0,1,3,>60 | >60,57235
,,,,.
0,1,4,15-19 | 15-19,2315
0,1,4,15-19 | 20-29,114826
0,1,4,15-19 | 30-39,216280
0,1,4,15-19 | 40-49,292030
0,1,4,15-19 | 50-59,332285
0,1,4,15-19 | >60,361243
0,1,4,20-29 | 20-29,112511
0,1,4,20-29 | 30-39,213965
0,1,4,20-29 | 40-49,289715
0,1,4,20-29 | 50-59,329970
0,1,4,20-29 | >60,358928
0,1,4,30-39 | 30-39,101454
0,1,4,30-39 | 40-49,177204
0,1,4,30-39 | 50-59,217459
0,1,4,30-39 | >60,246417
0,1,4,40-49 | 40-49,75750
0,1,4,40-49 | 50-59,116005
0,1,4,40-49 | >60,144963
0,1,4,50-59 | 50-59,40255
0,1,4,50-59 | >60,69213
0,1,4,>60 | >60,28958
,,,,.
0,1,5,15-19 | 15-19,1827
0,1,5,15-19 | 20-29,44768
0,1,5,15-19 | 30-39,85590
0,1,5,15-19 | 40-49,105038
0,1,5,15-19 | 50-59,122048
0,1,5,15-19 | >60,135001
0,1,5,20-29 | 20-29,42941
0,1,5,20-29 | 30-39,83763
0,1,5,20-29 | 40-49,103211
0,1,5,20-29 | 50-59,120221
0,1,5,20-29 | >60,133174
0,1,5,30-39 | 30-39,40822
0,1,5,30-39 | 40-49,60270
0,1,5,30-39 | 50-59,77280
0,1,5,30-39 | >60,90233
0,1,5,40-49 | 40-49,19448
0,1,5,40-49 | 50-59,36458
0,1,5,40-49 | >60,49411
0,1,5,50-59 | 50-59,17010
0,1,5,50-59 | >60,29963
0,1,5,>60 | >60,12953
,,,.,.
0,2,0,15-19 | 15-19,3989535
0,2,0,15-19 | 20-29,6280976
0,2,0,15-19 | 30-39,6716970
0,2,0,15-19 | 40-49,7001905
0,2,0,15-19 | 50-59,7277057
0,2,0,15-19 | >60,8536946
0,2,0,20-29 | 20-29,2291441
0,2,0,20-29 | 30-39,2727435
0,2,0,20-29 | 40-49,3012370
0,2,0,20-29 | 50-59,3287522
0,2,0,20-29 | >60,4547411
0,2,0,30-39 | 30-39,435994
0,2,0,30-39 | 40-49,720929
0,2,0,30-39 | 50-59,996081
0,2,0,30-39 | >60,2255970
0,2,0,40-49 | 40-49,284935
0,2,0,40-49 | 50-59,560087
0,2,0,40-49 | >60,1819976
0,2,0,50-59 | 50-59,275152
0,2,0,50-59 | >60,1535041
0,2,0,>60 | >60,1259889
,,,.,.
0,2,1,15-19 | 15-19,1041079
0,2,1,15-19 | 20-29,2710420
0,2,1,15-19 | 30-39,3378027
0,2,1,15-19 | 40-49,3883553
0,2,1,15-19 | 50-59,4291539
0,2,1,15-19 | >60,4759364
0,2,1,20-29 | 20-29,1669341
0,2,1,20-29 | 30-39,2336948
0,2,1,20-29 | 40-49,2842474
0,2,1,20-29 | 50-59,3250460
0,2,1,20-29 | >60,3718285
0,2,1,30-39 | 30-39,667607
0,2,1,30-39 | 40-49,1173133
0,2,1,30-39 | 50-59,1581119
0,2,1,30-39 | >60,2048944
0,2,1,40-49 | 40-49,505526
0,2,1,40-49 | 50-59,913512
0,2,1,40-49 | >60,1381337
0,2,1,50-59 | 50-59,407986
0,2,1,50-59 | >60,875811
0,2,1,>60 | >60,467825
,,,,.
0,2,2,15-19 | 15-19,498557
0,2,2,15-19 | 20-29,2350317
0,2,2,15-19 | 30-39,3272457
0,2,2,15-19 | 40-49,3820464
0,2,2,15-19 | 50-59,4226099
0,2,2,15-19 | >60,4482844
0,2,2,20-29 | 20-29,1851760
0,2,2,20-29 | 30-39,2773900
0,2,2,20-29 | 40-49,3321907
0,2,2,20-29 | 50-59,3727542
0,2,2,20-29 | >60,3984287
0,2,2,30-39 | 30-39,922140
0,2,2,30-39 | 40-49,1470147
0,2,2,30-39 | 50-59,1875782
0,2,2,30-39 | >60,2132527
0,2,2,40-49 | 40-49,548007
0,2,2,40-49 | 50-59,953642
0,2,2,40-49 | >60,1210387
0,2,2,50-59 | 50-59,405635
0,2,2,50-59 | >60,662380
0,2,2,>60 | >60,256745
,,,,.
0,2,3,15-19 | 15-19,26633
0,2,3,15-19 | 20-29,370553
0,2,3,15-19 | 30-39,636810
0,2,3,15-19 | 40-49,805780
0,2,3,15-19 | 50-59,931067
0,2,3,15-19 | >60,988302
0,2,3,20-29 | 20-29,343920
0,2,3,20-29 | 30-39,610177
0,2,3,20-29 | 40-49,779147
0,2,3,20-29 | 50-59,904434
0,2,3,20-29 | >60,961669
0,2,3,30-39 | 30-39,266257
0,2,3,30-39 | 40-49,435227
0,2,3,30-39 | 50-59,560514
0,2,3,30-39 | >60,617749
0,2,3,40-49 | 40-49,168970
0,2,3,40-49 | 50-59,294257
0,2,3,40-49 | >60,351492
0,2,3,50-59 | 50-59,125287
0,2,3,50-59 | >60,182522
0,2,3,>60 | >60,57235
,,,,.
0,2,4,15-19 | 15-19,2315
0,2,4,15-19 | 20-29,114826
0,2,4,15-19 | 30-39,216280
0,2,4,15-19 | 40-49,292030
0,2,4,15-19 | 50-59,332285
0,2,4,15-19 | >60,361243
0,2,4,20-29 | 20-29,112511
0,2,4,20-29 | 30-39,213965
0,2,4,20-29 | 40-49,289715
0,2,4,20-29 | 50-59,329970
0,2,4,20-29 | >60,358928
0,2,4,30-39 | 30-39,101454
0,2,4,30-39 | 40-49,177204
0,2,4,30-39 | 50-59,217459
0,2,4,30-39 | >60,246417
0,2,4,40-49 | 40-49,75750
0,2,4,40-49 | 50-59,116005
0,2,4,40-49 | >60,144963
0,2,4,50-59 | 50-59,40255
0,2,4,50-59 | >60,69213
0,2,4,>60 | >60,28958
,,,,.
0,2,5,15-19 | 15-19,1827
0,2,5,15-19 | 20-29,44768
0,2,5,15-19 | 30-39,85590
0,2,5,15-19 | 40-49,105038
0,2,5,15-19 | 50-59,122048
0,2,5,15-19 | >60,135001
0,2,5,20-29 | 20-29,42941
0,2,5,20-29 | 30-39,83763
0,2,5,20-29 | 40-49,103211
0,2,5,20-29 | 50-59,120221
0,2,5,20-29 | >60,133174
0,2,5,30-39 | 30-39,40822
0,2,5,30-39 | 40-49,60270
0,2,5,30-39 | 50-59,77280
0,2,5,30-39 | >60,90233
0,2,5,40-49 | 40-49,19448
0,2,5,40-49 | 50-59,36458
0,2,5,40-49 | >60,49411
0,2,5,50-59 | 50-59,17010
0,2,5,50-59 | >60,29963
0,2,5,>60 | >60,12953
,,,,.
1,0,0,15-19 | 15-19,4275348
1,0,0,15-19 | 20-29,6667493
1,0,0,15-19 | 30-39,7284990
1,0,0,15-19 | 40-49,7891653
1,0,0,15-19 | 50-59,8818370
1,0,0,15-19 | >60,13059747
1,0,0,20-29 | 20-29,2392145
1,0,0,20-29 | 30-39,3009642
1,0,0,20-29 | 40-49,3616305
1,0,0,20-29 | 50-59,4543022
1,0,0,20-29 | >60,8784399
1,0,0,30-39 | 30-39,617497
1,0,0,30-39 | 40-49,1224160
1,0,0,30-39 | 50-59,2150877
1,0,0,30-39 | >60,6392254
1,0,0,40-49 | 40-49,606663
1,0,0,40-49 | 50-59,1533380
1,0,0,40-49 | >60,5774757
1,0,0,50-59 | 50-59,926717
1,0,0,50-59 | >60,5168094
1,0,0,>60 | >60,4241377
,,,,.
1,1,0,15-19 | 15-19,181903
1,1,0,15-19 | 20-29,368511
1,1,0,15-19 | 30-39,416667
1,1,0,15-19 | 40-49,455695
1,1,0,15-19 | 50-59,482539
1,1,0,15-19 | >60,528570
1,1,0,20-29 | 20-29,186608
1,1,0,20-29 | 30-39,234764
1,1,0,20-29 | 40-49,273792
1,1,0,20-29 | 50-59,300636
1,1,0,20-29 | >60,346667
1,1,0,30-39 | 30-39,48156
1,1,0,30-39 | 40-49,87184
1,1,0,30-39 | 50-59,114028
1,1,0,30-39 | >60,160059
1,1,0,40-49 | 40-49,39028
1,1,0,40-49 | 50-59,65872
1,1,0,40-49 | >60,111903
1,1,0,50-59 | 50-59,26844
1,1,0,50-59 | >60,72875
1,1,0,>60 | >60,46031
,,,,.
1,1,1,15-19 | 15-19,627307
1,1,1,15-19 | 20-29,2139157
1,1,1,15-19 | 30-39,3168280
1,1,1,15-19 | 40-49,4161084
1,1,1,15-19 | 50-59,5101745
1,1,1,15-19 | >60,5911446
1,1,1,20-29 | 20-29,1511850
1,1,1,20-29 | 30-39,2540973
1,1,1,20-29 | 40-49,3533777
1,1,1,20-29 | 50-59,4474438
1,1,1,20-29 | >60,5284139
1,1,1,30-39 | 30-39,1029123
1,1,1,30-39 | 40-49,2021927
1,1,1,30-39 | 50-59,2962588
1,1,1,30-39 | >60,3772289
1,1,1,40-49 | 40-49,992804
1,1,1,40-49 | 50-59,1933465
1,1,1,40-49 | >60,2743166
1,1,1,50-59 | 50-59,940661
1,1,1,50-59 | >60,1750362
1,1,1,>60 | >60,809701
,,,,.
1,1,2,15-19 | 15-19,159719
1,1,2,15-19 | 20-29,1319606
1,1,2,15-19 | 30-39,2170780
1,1,2,15-19 | 40-49,2875791
1,1,2,15-19 | 50-59,3367930
1,1,2,15-19 | >60,3577510
1,1,2,20-29 | 20-29,1159887
1,1,2,20-29 | 30-39,2011061
1,1,2,20-29 | 40-49,2716072
1,1,2,20-29 | 50-59,3208211
1,1,2,20-29 | >60,3417791
1,1,2,30-39 | 30-39,851174
1,1,2,30-39 | 40-49,1556185
1,1,2,30-39 | 50-59,2048324
1,1,2,30-39 | >60,2257904
1,1,2,40-49 | 40-49,705011
1,1,2,40-49 | 50-59,1197150
1,1,2,40-49 | >60,1406730
1,1,2,50-59 | 50-59,492139
1,1,2,50-59 | >60,701719
1,1,2,>60 | >60,209580
,,,,.
1,1,3,15-19 | 15-19,9111
1,1,3,15-19 | 20-29,211685
1,1,3,15-19 | 30-39,394259
1,1,3,15-19 | 40-49,621754
1,1,3,15-19 | 50-59,737257
1,1,3,15-19 | >60,786469
1,1,3,20-29 | 20-29,202574
1,1,3,20-29 | 30-39,385148
1,1,3,20-29 | 40-49,612643
1,1,3,20-29 | 50-59,728146
1,1,3,20-29 | >60,777358
1,1,3,30-39 | 30-39,182574
1,1,3,30-39 | 40-49,410069
1,1,3,30-39 | 50-59,525572
1,1,3,30-39 | >60,574784
1,1,3,40-49 | 40-49,227495
1,1,3,40-49 | 50-59,342998
1,1,3,40-49 | >60,392210
1,1,3,50-59 | 50-59,115503
1,1,3,50-59 | >60,164715
1,1,3,>60 | >60,49212
,,,,.
1,1,4,15-19 | 15-19,3436
1,1,4,15-19 | 20-29,65902
1,1,4,15-19 | 30-39,155553
1,1,4,15-19 | 40-49,214522
1,1,4,15-19 | 50-59,271706
1,1,4,15-19 | >60,284574
1,1,4,20-29 | 20-29,62466
1,1,4,20-29 | 30-39,152117
1,1,4,20-29 | 40-49,211086
1,1,4,20-29 | 50-59,268270
1,1,4,20-29 | >60,281138
1,1,4,30-39 | 30-39,89651
1,1,4,30-39 | 40-49,148620
1,1,4,30-39 | 50-59,205804
1,1,4,30-39 | >60,218672
1,1,4,40-49 | 40-49,58969
1,1,4,40-49 | 50-59,116153
1,1,4,40-49 | >60,129021
1,1,4,50-59 | 50-59,57184
1,1,4,50-59 | >60,70052
1,1,4,>60 | >60,12868
,,,,.
1,1,5,15-19 | 15-19,464
1,1,5,15-19 | 20-29,16585
1,1,5,15-19 | 30-39,34255
1,1,5,15-19 | 40-49,45761
1,1,5,15-19 | 50-59,52200
1,1,5,15-19 | >60,57104
1,1,5,20-29 | 20-29,16121
1,1,5,20-29 | 30-39,33791
1,1,5,20-29 | 40-49,45297
1,1,5,20-29 | 50-59,51736
